Report job ID,14558363192,,,,,,,
Date/Time generated,19 April 2024 12:17:24 BST,,,,,,,
Publisher network name,RTE - DFP EMEA,,,,,,,
User,gillian.ohea@rte.ie,,,,,,,
Date range,01-Dec-2023 - 31-Dec-2023,,,,,,,
PQL query statement, where ((order_id in (2223001337) and not (creative_size in ('300 x 250'))) and creative_technology in (4)),,,,,,,
Report type,Historical,,,,,,,
,,,,,,,,
Creative,Line Item,Creative Technology,Creative ID,Line item ID,Creative Technology ID,Delivery Indicator,Ad server impressions,Ad server clicks
AAA_Dec_Kids Christmas 2023 (copy),Sky STB Syndication Player Promos  - ROS,Video,732641369,6347311116,4,N/A,"1,832",0
AAA_Dec_RTE Player Christmas Comp (copy),Sky STB Syndication Player Promos  - ROS,Video,732641372,6347311116,4,N/A,"1,921",0
AAA_Nov_Patrick A Young Traveller (copy),Sky STB Syndication Player Promos  - ROS,Video,732508469,6347311116,4,N/A,"2,401",0
AAA_Nov_The Gone boxset (copy),Sky STB Player Promos - Audience 2,Video,732508535,6407114359,4,N/A,"1,867",0
Blue Lights,Player Promos - Audience 2,Video,732192928,6404814183,4,N/A,"486,613",876
Christmas on RTE,Player Promos - ROS,Video,732500702,5386709211,4,N/A,"12,009",41
Clean Sweep,Player Promos - ROS,Video,732121267,5386709211,4,N/A,"40,875",99
Crime,Player Promos - Audience 2,Video,732133285,6404814183,4,N/A,"486,978",889
Finding Samantha,Player Promos - ROS,Video,732121699,5386709211,4,N/A,"41,060",105
Gossip Girl,Player Promos - ROS,Video,732121303,5386709211,4,N/A,"40,743",100
Happy Valley,Player Promos - ROS,Video,732120943,5386709211,4,N/A,"41,033",93
Hidden Assets Boxset,Player Promos - ROS,Video,731934501,5386709211,4,N/A,"26,436",81
Irelands Perfect Pubs,Player Promo ROS - Irelands Perfect Pubs *Alcohol content*,Video,732114829,6404848707,4,N/A,"39,488",99
Irish Language Campaign The Vets,Player Promos - ROS,Video,732123534,5386709211,4,N/A,"40,528",109
Love and Death,Player Promos - Audience 2,Video,732252814,6404814183,4,N/A,"486,327",808
Love in the Country,Player Promos - Audience 5,Video,732253046,6407653901,4,N/A,"157,095",409
Luther,Player Promos - Audience 3,Video,732240524,6404814369,4,N/A,949,13
Man Vs Ocean,Player Promos - Audience 1,Video,732562364,6407652467,4,N/A,"45,178",45
Normal People,Player Promos - ROS,Video,732241508,5386709211,4,N/A,"41,015",128
Obituary,Player Promos - ROS,Video,731921765,5386709211,4,N/A,"26,468",40
Obituary,Player Promos - Audience 4,Video,732121866,6404814468,4,N/A,"64,958",75
Patrick a Young Traveller Lost,Player Promos - ROS,Video,732489380,5386709211,4,N/A,"14,222",53
SKY_AAA_Nov_TVL Investigates (copy),Sky STB Syndication Player Promos  - ROS,Video,732409800,6347311116,4,N/A,"4,739",0
